customer_id,customer_segment,usage_score,usage_category,revenue_segment,tenure_months,gender,age,state,city,estimated_salary,churn,calls_made,sms_sent,data_used
1.0,At Risk,-219.15,Low,High Income,72,F,25,Karnataka,Kolkata,124962.0,1,44,45,-361.0
134.0,At Risk,-107.35,Low,High Income,72,M,37,Odisha,Bangalore,64145.0,1,10,26,-173.0
287.0,At Risk,-196.05,Low,High Income,72,F,18,Jharkhand,Kolkata,80143.0,1,39,-4,-316.0
438.0,At Risk,-263.7,Low,High Income,72,M,37,Uttar Pradesh,Kolkata,112351.0,1,30,44,-424.0
901.0,At Risk,-554.85,Low,High Income,72,M,41,Maharashtra,Mumbai,95919.0,1,69,25,-884.0
1111.0,At Risk,-6.2,Low,High Income,72,M,63,Telangana,Hyderabad,143668.0,1,47,35,-33.0
1819.0,At Risk,-215.7,Low,High Income,71,F,51,Meghalaya,Delhi,96708.0,1,46,16,-352.0
1902.0,At Risk,26.9,Low,High Income,71,F,60,Tamil Nadu,Mumbai,91464.0,1,68,34,10.0
2025.0,At Risk,-424.6,Low,High Income,71,F,57,Goa,Mumbai,99487.0,1,60,-2,-676.0
2405.0,At Risk,-1.3,Low,High Income,71,M,19,Goa,Chennai,58879.0,1,76,44,-38.0
2424.0,At Risk,-85.35,Low,High Income,71,F,60,Mizoram,Delhi,75138.0,1,54,45,-159.0
2443.0,At Risk,-31.85,Low,High Income,71,M,57,Odisha,Bangalore,68995.0,1,39,13,-66.0
2511.0,At Risk,-99.95,Low,High Income,71,F,74,Nagaland,Kolkata,51784.0,1,37,13,-170.0
2592.0,At Risk,-57.4,Low,High Income,71,F,73,Rajasthan,Mumbai,84406.0,1,46,26,-110.0
2709.0,At Risk,9.3,Low,High Income,71,F,58,Odisha,Kolkata,119732.0,1,75,29,-19.0
2721.0,At Risk,-58.85,Low,High Income,71,M,29,Tamil Nadu,Chennai,75813.0,1,95,45,-134.0
3012.0,At Risk,20.45,Low,High Income,71,M,34,Haryana,Chennai,74095.0,1,50,21,9.0
3214.0,At Risk,-112.05,Low,High Income,71,M,37,Rajasthan,Delhi,82849.0,1,32,41,-191.0
3537.0,At Risk,5.15,Low,High Income,71,F,48,Goa,Bangalore,88707.0,1,75,33,-26.0
3899.0,At Risk,-2.05,Low,High Income,71,M,20,Karnataka,Bangalore,121233.0,1,46,27,-25.0
3909.0,At Risk,-78.5,Low,High Income,71,F,39,Sikkim,Bangalore,61608.0,1,46,-3,-138.0
3965.0,At Risk,-320.45,Low,High Income,71,F,21,Gujarat,Hyderabad,94602.0,1,81,-1,-524.0
5096.0,At Risk,-271.8,Low,High Income,71,F,35,Assam,Hyderabad,149014.0,1,79,3,-449.0
5141.0,At Risk,-86.45,Low,High Income,71,F,50,Arunachal Pradesh,Kolkata,96006.0,1,44,7,-151.0
5190.0,At Risk,-544.65,Low,High Income,71,M,74,Arunachal Pradesh,Delhi,78117.0,1,8,39,-847.0
5226.0,At Risk,-214.3,Low,High Income,71,M,33,Nagaland,Delhi,54941.0,1,90,50,-372.0
5404.0,At Risk,-202.45,Low,High Income,71,M,32,Maharashtra,Delhi,116427.0,1,73,29,-344.0
5513.0,At Risk,-380.0,Low,High Income,71,F,41,Madhya Pradesh,Delhi,86962.0,1,43,25,-605.0
5772.0,At Risk,-142.25,Low,High Income,71,F,65,Goa,Hyderabad,61810.0,1,55,39,-246.0
5790.0,At Risk,-346.7,Low,High Income,71,M,37,Jharkhand,Kolkata,112119.0,1,68,42,-566.0
5811.0,At Risk,-441.7,Low,High Income,71,M,28,Meghalaya,Delhi,124862.0,1,34,35,-698.0
6223.0,At Risk,-234.9,Low,High Income,71,M,52,Manipur,Delhi,62839.0,1,77,39,-397.0
6275.0,At Risk,-391.2,Low,High Income,71,F,19,Odisha,Kolkata,114097.0,1,87,11,-637.0
6372.0,At Risk,-38.6,Low,High Income,71,M,46,Nagaland,Bangalore,87818.0,1,81,3,-91.0
6537.0,At Risk,-251.85,Low,High Income,71,M,38,Manipur,Kolkata,113615.0,1,87,20,-424.0
6710.0,At Risk,-438.8,Low,High Income,71,F,48,Karnataka,Kolkata,85423.0,1,19,43,-689.0
6954.0,At Risk,-275.7,Low,High Income,71,F,58,Arunachal Pradesh,Bangalore,104592.0,1,47,31,-447.0
7465.0,At Risk,-196.1,Low,High Income,70,F,34,Assam,Chennai,90566.0,1,86,34,-340.0
7890.0,At Risk,-10.8,Low,High Income,70,M,66,Manipur,Hyderabad,89620.0,1,68,8,-44.0
7894.0,At Risk,-136.6,Low,High Income,70,F,44,Punjab,Chennai,62977.0,1,29,50,-229.0
7923.0,At Risk,-117.9,Low,High Income,70,M,59,Goa,Kolkata,121454.0,1,1,34,-187.0
8059.0,At Risk,-131.3,Low,High Income,70,M,28,Nagaland,Hyderabad,58195.0,1,94,38,-244.0
8156.0,At Risk,-308.5,Low,High Income,70,M,26,Punjab,Kolkata,88236.0,1,25,44,-491.0
8191.0,At Risk,-98.25,Low,High Income,70,M,34,Maharashtra,Kolkata,144379.0,1,38,21,-169.0
8367.0,At Risk,-51.55,Low,High Income,70,M,71,Telangana,Bangalore,53407.0,1,52,37,-105.0
8538.0,At Risk,-0.15,Low,High Income,70,F,62,Chhattisgarh,Bangalore,105382.0,1,14,22,-9.0
8579.0,At Risk,-185.6,Low,High Income,70,M,51,Tamil Nadu,Chennai,105254.0,1,75,30,-319.0
8828.0,At Risk,-167.15,Low,High Income,70,M,22,Bihar,Delhi,66628.0,1,13,38,-268.0
8871.0,At Risk,-60.85,Low,High Income,70,M,61,Punjab,Bangalore,149829.0,1,73,2,-122.0
8950.0,At Risk,-250.75,Low,High Income,70,F,22,Uttarakhand,Delhi,54782.0,1,20,23,-397.0
9038.0,At Risk,-214.0,Low,High Income,70,M,47,Arunachal Pradesh,Kolkata,89463.0,1,17,47,-343.0
9099.0,At Risk,-176.4,Low,High Income,70,M,25,Madhya Pradesh,Mumbai,50444.0,1,75,44,-307.0
9377.0,At Risk,-611.75,Low,High Income,70,F,64,Andhra Pradesh,Chennai,109198.0,1,-3,39,-946.0
9636.0,At Risk,-332.0,Low,High Income,70,M,19,Goa,Mumbai,113684.0,1,-7,32,-513.0
10603.0,At Risk,-10.05,Low,High Income,70,M,18,Andhra Pradesh,Bangalore,95705.0,1,-2,15,-17.0
10722.0,At Risk,-55.8,Low,High Income,70,F,63,Uttarakhand,Bangalore,146658.0,1,65,1,-111.0
10752.0,At Risk,-322.35,Low,High Income,70,F,26,Sikkim,Hyderabad,72110.0,1,100,17,-537.0
10870.0,At Risk,-273.05,Low,High Income,70,F,73,Sikkim,Kolkata,117939.0,1,6,30,-427.0
11093.0,At Risk,-222.25,Low,High Income,70,F,62,Arunachal Pradesh,Kolkata,62958.0,1,10,34,-351.0
11284.0,At Risk,-22.6,Low,High Income,70,M,61,Jharkhand,Mumbai,75537.0,1,11,26,-43.0
11591.0,At Risk,-411.05,Low,High Income,70,M,27,Nagaland,Hyderabad,129862.0,1,4,33,-639.0
11980.0,At Risk,-174.05,Low,High Income,70,F,49,West Bengal,Kolkata,93853.0,1,45,32,-290.0
12114.0,At Risk,12.9,Low,High Income,70,M,73,Mizoram,Bangalore,130287.0,1,50,17,-2.0
12154.0,At Risk,14.8,Low,High Income,70,F,44,Rajasthan,Chennai,141729.0,1,30,21,8.0
12402.0,At Risk,-319.2,Low,High Income,70,F,55,Chhattisgarh,Chennai,133647.0,1,68,31,-522.0
12406.0,At Risk,-234.8,Low,High Income,70,M,30,Gujarat,Bangalore,74840.0,1,78,5,-392.0
12535.0,At Risk,-166.9,Low,High Income,70,M,45,Manipur,Hyderabad,136484.0,1,6,45,-266.0
13003.0,At Risk,-285.5,Low,High Income,70,F,43,Arunachal Pradesh,Chennai,91017.0,1,60,50,-470.0
13016.0,At Risk,-19.7,Low,High Income,70,F,43,Punjab,Bangalore,78056.0,1,66,28,-60.0
